,variables,p_cntrl2730,p_cncr5987,p_cntrl5081,p_cncr1718,p_cncr2573,p_cncr2035,p_cntrl2972,p_cncr6812,p_cntrl9873,p_cncr4188,p_cncr9002,p_cncr9466,p_cncr8865,p_cntrl5767,p_cncr2978,p_cntrl6376,p_cntrl8387,p_cncr3595,p_cncr4026,p_cncr9591,p_cntrl8413,p_cncr9070,p_cncr6166,p_cncr1817,p_cntrl6666,p_cncr2162,p_cncr1856,p_cncr2882,p_cncr1259,p_cntrl5277
36,c_4_3_00,0.34942680971865997,0.20481425546722784,0.22607871817695746,0.20803623931259999,0.2504927527907457,0.2510058820125229,0.1997489698917112,0.24222301684920267,0.22710144392638323,0.23402003874926144,0.2585408035713812,0.20403741635537898,0.25142907777516527,0.26741335796979476,0.2649694278871968,0.3400295823744748,0.2583839439960227,0.22609369207034055,0.3316849912565613,0.2795045238522097,0.2721497361020689,0.227187084889479,0.256093527765678,0.2638414179540964,0.300444231658961,0.19973391741025928,0.20073913167518573,0.234126202874808,0.1900616919769965,0.2691045476341183
37,c_4_3_01,0.20916607034434034,0.21987106488862165,0.2383910458088282,0.2359591843511942,0.2992736541743216,0.24309045109820632,0.27688686514875416,0.23710766404380867,0.32719401472086607,0.2521096827201063,0.22115468168774594,0.39255903419108246,0.25041359583234457,0.2976636341295863,0.22412242779359193,0.21876945364214762,0.23542694242709608,0.22845332161951393,0.2549515423562537,0.25906183274600353,0.26195003087362495,0.2512212639251044,0.2783965574247547,0.21823051369775606,0.2287068523193979,0.25887811006827943,0.2913106870219294,0.25166853602304456,0.24658356878420024,0.23518524325683005
38,c_4_3_10,0.20211100241628424,0.3142350771826545,0.22051251050089793,0.2513126529327685,0.22046175768625104,0.2467885491836258,0.3322910465340177,0.2782153332663662,0.24074317348441654,0.2248151971536222,0.3225813189717872,0.20518230076039726,0.21527637073124906,0.2168540009673551,0.2576952834008824,0.24425288617856694,0.21118593170848782,0.3065605088227392,0.18043096096178196,0.2443704206879089,0.2647403960236377,0.23857634072376516,0.24013934862450864,0.27254777797708263,0.2208216926014055,0.2983346736922699,0.28326135330843566,0.2551922897257197,0.34184988417691214,0.24781311688643762
39,c_4_3_11,0.23929611752071547,0.2610796024614961,0.3150177255133164,0.3046919234034373,0.22977183534868165,0.259115117705645,0.1910731184255169,0.24245398584062244,0.2049613678683342,0.2890550813770101,0.19772319576908562,0.19822124869314134,0.2828809556612411,0.21806900693326384,0.25321286091832884,0.1969480778048106,0.29500318186839336,0.23889247748740627,0.232932505425403,0.2170632227138779,0.2011598370006685,0.28301531046165146,0.2253705661850586,0.24538029037106493,0.2500272234202356,0.24305329882919138,0.2246888279944492,0.2590129713764277,0.22150485506189116,0.24789709222261402
40,c_5_0_00,0.26415929841965285,0.3135794938208632,0.21478358404118247,0.18567702219975318,0.3012134746640833,0.24923113447764275,0.3511898450616193,0.23993504199965188,0.2908235537397229,0.2170078087920384,0.2327969759570915,0.26034649313400815,0.29350171145566845,0.26771293765130827,0.244555190629879,0.3366235703502178,0.2360545055490208,0.23333425795506763,0.22023003287888476,0.2918327975012293,0.247389008952919,0.18646206818655078,0.23487414832241674,0.26825081120595173,0.23473309908447537,0.22401627266776855,0.21953845636825087,0.2555590268966039,0.20033772686281273,0.24775068791089594
41,c_5_0_01,0.3129638295545279,0.2527211116157731,0.3345087112217739,0.3828678752166528,0.21177239058109792,0.21838900367798728,0.19374043466539184,0.2782689402393567,0.24729566635676595,0.23145120452616413,0.3121975906397048,0.27490378892808814,0.2044877347093739,0.235942577049504,0.31750772758727863,0.18704895207347627,0.2862601671320963,0.30750417823845816,0.22250472554243303,0.26047240046093995,0.21614839656455012,0.22650488802343333,0.2678107835307833,0.23468472246813296,0.2595195548267995,0.3665454632108864,0.25539726139463004,0.23241650822127416,0.21787229634658903,0.249286217176193
42,c_5_0_10,0.20568677669358615,0.2594940606017073,0.25519228837527985,0.187937125790912,0.2141834800882149,0.2898960262949959,0.24083624136334078,0.26036586809998075,0.21363666126463826,0.34754401795903334,0.2419206779851667,0.24827145949037124,0.23281290890834672,0.24414118144695446,0.2307682826864932,0.24423005733259442,0.1977976739994316,0.2323256144773478,0.23930563838914778,0.21110284287938608,0.24218673843359784,0.3505781178079116,0.27183759861002155,0.20450580331912596,0.2526322675628302,0.19558564725254807,0.24185942623958404,0.26108161644595995,0.2104074746153245,0.2587982084788091
43,c_5_0_11,0.2171900953322331,0.17420533396165636,0.19551541636176378,0.24351797679268206,0.27283065466660383,0.24248383554937408,0.21423347890964803,0.22143014966101063,0.24824411863887288,0.20399696872276413,0.213084755418037,0.21647825844753246,0.2691976449266109,0.2522033038522333,0.2071687990963492,0.23209742024371152,0.2798876533194513,0.22683594932912637,0.3179596031895344,0.2365919591584447,0.2942758560489331,0.23645492598210427,0.22547746953677839,0.2925586630067894,0.25311507852589493,0.213852616868797,0.28320485599753503,0.250942848436162,0.37138250217527374,0.24416488643410197
44,c_5_1_00,0.24848976851239585,0.22103452839863572,0.20791559772760065,0.4228450284991103,0.1815965651271784,0.24534387764260274,0.15370603506713765,0.2011373710975493,0.24356624631667448,0.2134290923421974,0.2880742003025281,0.24761065304807414,0.2043770335821694,0.20626514238113883,0.3987325736474615,0.18185295086361547,0.1566476311059007,0.23414163498315196,0.18153805870971387,0.36933981778382935,0.1860370544616321,0.11572865690036782,0.2129108300168307,0.31940356365178646,0.2552393281363261,0.17645467092854114,0.22610095474903097,0.2785295689767129,0.12724217120957004,0.21023986738829667
45,c_5_1_01,0.3286333594617849,0.3452660770380006,0.3413766975353557,0.1456998689172956,0.3313893001180029,0.2222762605130273,0.39122424465987354,0.3170666111414593,0.2945529737798144,0.23502992097600514,0.2569203662942682,0.2876396290140222,0.2936124125828729,0.29739037231967347,0.16333034456969614,0.3418195715600786,0.36566704157521646,0.30669680121037385,0.2611966997116039,0.1829653801783399,0.277500351055837,0.29723829930961626,0.28977410183636937,0.18353197002229824,0.23901332577494877,0.4141070649501138,0.24883476301384994,0.2094459661411652,0.2909678519998317,0.2867970376987923
